,zipcode,cases,crude_rate_per_100_000
3,64106,186,1994.42
4,64108,217,2782.41
5,64109,138,1430.50
6,64110,171,995.58
7,64111,234,1314.53
8,64112,120,1436.78
9,64113,122,1017.68
10,64114,206,844.09
11,64116,185,1737.25
12,64117,168,1195.73
13,64118,266,1221.08
14,64119,218,1251.36
16,64123,421,4394.57
17,64124,523,4921.89
19,64126,192,3415.76
20,64127,460,2976.00
21,64128,245,2153.09
22,64129,145,1706.28
23,64130,346,1730.35
24,64131,326,1421.59
25,64132,192,1295.81
26,64133,228,1397.23
27,64134,327,1369.69
29,64137,227,2132.26
30,64138,150,1111.28
36,64151,233,1080.35
37,64152,110,1178.99
38,64153,63,1306.51
39,64154,139,1275.81
40,64155,241,1051.62
42,64157,216,1084.45
43,64158,81,1606.82
