,firearm_used_flag,zip_code,report_no
18,True,64114,KC20002799
25,True,64124,KC20003565
90,True,64134,KC20011352
111,True,64111,KC20013693
164,True,64137,KC20020502
181,True,64123,KC20022182
206,True,64112,KC20026006
216,True,64133,KC20027202
219,True,64127,KC20027428
238,True,64124,KC20029744
265,True,64161,KC20032238
279,True,64131,KC20034141
295,True,64130,KC20035591
313,True,64124,KC20037665
315,True,64147,KC20037999
327,True,64129,KC20039823
333,True,64130,KC20040371
336,True,64124,KC20040747
351,True,64131,KC20041918
358,True,64128,KC20042875
388,True,64109,KC20047171
396,True,64127,KC20047985
418,True,64109,KC20050694
421,True,64128,KC20051101
429,True,64133,KC20051966
431,True,64137,KC20052268
435,True,64110,KC20053015
440,True,64124,KC20053270
449,True,64130,KC20054515
455,True,64127,KC20055200
461,True,64134,KC20014012
465,True,64132,KC20013754
492,True,64131,KC20000962
550,True,64124,KC20008131
561,True,64128,KC20014136
562,True,64128,KC20016663
568,True,64127,KC20001352
576,True,64111,KC20009190
581,True,64133,KC20004714
582,True,64124,KC20000125
589,True,64124,KC20013664
610,True,64106,KC20003970
615,True,64111,KC20015257
623,True,64133,KC20004714
645,True,64134,KC20002731
649,True,64109,KC20015120
660,True,64132,KC20005231
665,True,64127,KC20003589
733,True,64125,KC20000794
783,True,64134,KC20014012
788,True,64101,KC20001213
798,True,64111,KC20015257
819,True,64133,KC20008724
851,True,64128,KC20009594
861,True,64123,KC20014572
871,True,64127,KC20008328
873,True,64136,KC20011636
901,True,64110,KC20012275
929,True,64132,KC20000075
946,True,64111,KC20001456
972,True,64127,KC20001107
1012,True,64126,KC20012398
1015,True,64127,KC20001122
1042,True,64132,KC20010147
1072,True,64138,KC20000102
1074,True,64106,KC20011948
1097,True,64127,KC20008339
1117,True,64128,KC20000204
1130,True,64134,KC20010847
1151,True,64155,KC20009838
1161,True,64123,KC20003763
1190,True,64132,KC20002842
1205,True,64134,KC20002731
1211,True,64116,KC20006101
1224,True,64108,KC20007000
1239,True,64117,KC20010723
1248,True,64108,KC20009618
1262,True,64130,KC20003393
1264,True,64117,KC20013013
1267,True,64138,KC20014537
1307,True,64111,KC20007679
1318,True,64108,KC20009618
1319,True,64111,KC20014481
1352,True,64130,KC20000810
1353,True,64124,KC20002922
1358,True,64128,KC20000106
1365,True,64130,KC20001488
1368,True,64111,KC20015257
1382,True,64123,KC20000357
1392,True,64134,KC20004297
1401,True,64134,KC20000477
1411,True,64134,KC20007732
1418,True,64111,KC20005611
1424,True,64130,KC20005139
1451,True,64124,KC20005246
1460,True,64134,KC20014117
1461,True,64125,KC20001208
1472,True,64111,KC20015257
1504,True,64101,KC20013992
1509,True,64120,KC20015654
1525,True,64116,KC20000013
1542,True,64130,KC20001677
1582,True,64130,KC20000358
1630,True,64130,KC20014607
1645,True,64111,KC20007648
1655,True,64131,KC20000498
1662,True,64133,KC20004714
1680,True,64123,KC20014984
1691,True,64155,KC20007525
1693,True,64118,KC20004727
1700,True,64111,KC20006244
1742,True,64130,KC20008013
1764,True,64106,KC20008387
1771,True,64110,KC20013117
1787,True,64128,KC20015694
1798,True,64110,KC20016437
1805,True,64109,KC20008267
1825,True,64124,KC20006710
1831,True,64124,KC20004393
1833,True,64126,KC20010080
1835,True,64131,KC20000768
1840,True,64134,KC20016218
1862,True,64132,KC20002070
1865,True,64124,KC20004033
1874,True,64126,KC20001881
1876,True,64132,KC20003777
1913,True,64030,KC20006857
1924,True,64130,KC20013161
1926,True,64133,KC20002839
1938,True,64151,KC20009863
1948,True,64130,KC20007669
1982,True,64155,KC20007951
2010,True,64133,KC20014671
2020,True,64130,KC20016181
2027,True,64110,KC20000638
2058,True,64213,KC20016364
2081,True,64130,KC20004692
2102,True,64124,KC20003565
2104,True,64105,KC20008729
2106,True,64110,KC20005131
2151,True,64106,KC20015668
2160,True,64138,KC20009753
2174,True,64134,KC20011993
2212,True,64130,KC20016253
2237,True,64123,KC20009630
2240,True,64116,KC20000387
2245,True,64130,KC20007687
2313,True,64119,KC20002828
2316,True,64118,KC20015496
2330,True,64108,KC20009618
2346,True,64116,KC20008601
2368,True,64131,KC20001607
2389,True,64129,KC20005774
2392,True,64111,KC20005997
2423,True,64134,KC20004297
2432,True,64133,KC20001693
2485,True,64145,KC20007253
2524,True,64133,KC20015456
2525,True,64126,KC20012743
2551,True,64127,KC20004227
2571,True,64124,KC20004393
2574,True,64130,KC20001194
2582,True,64127,KC20007585
2618,True,64110,KC20002937
2649,True,64129,KC20013567
2652,True,64124,KC20002758
2656,True,64126,KC20001881
2673,True,64111,KC20007648
2689,True,64123,KC20014572
2708,True,64124,KC20016294
2732,True,64127,KC20014469
2741,True,64130,KC20010200
2756,True,64130,KC20000356
2760,True,64111,KC20007639
2777,True,64125,KC20016243
2818,True,64137,KC20015688
2832,True,64134,KC20004297
2842,True,64128,KC20008838
2853,True,64128,KC20008719
2858,True,64134,KC20006387
2859,True,64129,KC20013930
2860,True,64131,KC20000857
2900,True,64138,KC20012855
2909,True,64101,KC20001213
2914,True,64132,KC20004300
2932,True,64134,KC20009823
2975,True,64128,KC20012399
2979,True,64126,KC20001881
2980,True,64030,KC20006857
3012,True,64123,KC20014984
3059,True,64105,KC20008729
3077,True,64126,KC20015624
3105,True,64130,KC20008013
3120,True,64130,KC20001776
3122,True,64130,KC20003393
3133,True,64128,KC20011837
3140,True,64114,KC20002799
3154,True,64147,KC20014160
3162,True,64130,KC20014399
3178,True,64130,KC20004539
3226,True,64117,KC20000809
3232,True,64127,KC20006808
3237,True,64124,KC20006484
3257,True,64131,KC20002725
3260,True,64151,KC20011988
3270,True,64108,KC20000035
3302,True,64134,KC20000738
3306,True,64133,KC20004714
3308,True,64114,KC20011674
3309,True,64134,KC20004297
3310,True,64128,KC20000814
3318,True,64151,KC20002992
3323,True,64155,KC20012054
3325,True,64128,KC20001032
3335,True,64130,KC20011616
3348,True,64128,KC20009109
3358,True,64127,KC20012017
3364,True,64155,KC20007525
3375,True,64108,KC20000218
3376,True,64130,KC20008157
3438,True,64110,KC20000048
3538,True,64108,KC20009618
3540,True,64138,KC20013838
3558,True,64134,KC20015572
3592,True,64128,KC20000204
3593,True,64128,KC20004361
3605,True,64128,KC20014132
3623,True,64128,KC20010559
3637,True,64128,KC20000158
3648,True,64131,KC20014956
3669,True,64130,KC20016984
3671,True,64137,KC20012786
3683,True,64134,KC20004297
3722,True,64131,KC20004503
3764,True,64119,KC20007180
3766,True,64127,KC20008328
3811,True,64123,KC20000357
3824,True,64133,KC20004714
3840,True,64118,KC20014205
3841,True,64134,KC20013845
3854,True,64125,KC20016243
3883,True,64133,KC20004714
3905,True,64118,KC20002038
3910,True,64133,KC20004714
3917,True,64128,KC20014136
3997,True,64131,KC20005218
4006,True,64126,KC20003885
4021,True,64153,KC20003233
4027,True,64129,KC20010215
4054,True,64134,KC20002731
4055,True,64111,KC20015257
4065,True,64106,KC20001088
4078,True,64131,KC20013389
4083,True,64114,KC20003723
4085,True,64133,KC20004714
4111,True,64134,KC20011352
4125,True,64130,KC20008013
4127,True,64130,KC20004945
4132,True,64109,KC20001735
4139,True,64132,KC20015237
4141,True,64110,KC20015284
4143,True,64111,KC20003946
4145,True,64124,KC20010233
4230,True,64133,KC20004714
4232,True,64213,KC20016364
4235,True,64119,KC20005121
4253,True,64106,KC20012133
4298,True,64156,KC20006859
4299,True,64132,KC20003456
4308,True,64130,KC20015947
4363,True,64124,KC20010233
4370,True,64124,KC20007605
4375,True,64111,KC20005243
