,Lat,Lng
384,39.105094, -94.599678
385,39.051476, -94.581738
398,39.035286, -94.495582
410,39.198787, -94.620837
419,38.970664, -94.59528
429,39.225092, -94.648454
457,38.926498, -94.518965
459,39.069476, -94.541173
469,39.033747, -94.41578
509,39.033747, -94.41578
517,38.942021, -94.607128
527,38.983381, -94.6016
545,39.152142, -94.477208
547,39.090303, -94.512662
552,39.041419, -94.572964
564,39.056941, -94.547814
574,39.10003, -94.585827
580,39.248754, -94.593197
607,39.116993, -94.526883
623,39.069121, -94.585387
626,39.152142, -94.477208
682,39.026677, -94.533668
693,38.958465, -94.488186
702,39.093106, -94.533265
707,39.074714, -94.547993
715,39.051373, -94.595768
739,39.104748, -94.50687
783,39.106774, -94.563904
792,38.971462, -94.605386
797,39.110335, -94.580974
811,39.070268, -94.571333
819,39.258572, -94.526178
835,39.069128, -94.529706
867,38.975286, -94.492262
872,39.102357, -94.58304
878,39.056624, -94.587312
891,39.05806, -94.594148
909,39.137295, -94.496032
945,39.288064, -94.550991
946,39.208751, -94.648796
967,39.030843, -94.439078
977,39.110855, -94.578417
980,39.034299, -94.510631
988,38.957148, -94.547882
997,38.932796, -94.543388
1013,39.074444, -94.51803
1035,39.009697, -94.484166
1040,39.26915, -94.669477
1041,39.079283, -94.52356
1043,39.034957, -94.588471
1045,39.105558, -94.529172
1067,39.252223, -94.655534
1081,39.157099, -94.54086
1083,39.040503, -94.59165
1090,39.106862, -94.566493
1096,39.037199, -94.548691
1119,38.882537, -94.589873
1126,39.108357, -94.48315
1134,39.11291, -94.527097
1148,39.010585, -94.488973
1151,39.269826, -94.455647
1199,39.048835, -94.574916
1216,39.280339, -94.470461
1228,38.990112, -94.566164
1245,39.296623, -94.683361
1257,39.11121, -94.534929
1265,39.090825, -94.552223
1286,39.250169, -94.568765
1299,39.047643, -94.447644
1313,38.991554, -94.575658
1317,39.114459, -94.523252
1322,38.966498, -94.50055
1326,39.240456, -94.658045
1327,39.052858, -94.591462
1341,39.034743, -94.583428
1343,39.105988, -94.54185
1345,39.025632, -94.53321
1361,39.042437, -94.595019
1366,38.927435, -94.521533
1380,38.948277, -94.582353
1381,39.03207, -94.464909
1389,39.094148, -94.523392
1392,39.094188, -94.537443
1394,38.936735, -94.480303
1414,39.002643, -94.558847
1420,39.235373, -94.660188
1421,39.183297, -94.500578
1423,39.057261, -94.604964
1432,39.179899, -94.52582
1438,39.033747, -94.41578
1480,39.050123, -94.55603
1497,39.120394, -94.5622
1506,38.997741, -94.593148
1532,39.043742, -94.44374
1540,39.112979, -94.534177
1563,38.975728, -94.573914
1595,39.223384, -94.595432
1600,39.301331, -94.6817
1622,39.040783, -94.603542
1628,39.111379, -94.580983
1636,39.242051, -94.461697
1657,39.104507, -94.502799
1660,39.191353, -94.560849
1671,39.050432, -94.565336
1677,39.100489, -94.563943
1684,39.108873, -94.520058
1705,39.273974, -94.665975
1712,39.120064, -94.543983
1718,39.09693, -94.537675
1727,38.878944, -94.590375
1742,39.168919, -94.496877
1761,39.271923, -94.558878
1773,39.11451, -94.524402
1775,39.052791, -94.591596
1820,39.040779, -94.588826
1876,39.09565, -94.576681
1881,39.030232, -94.560776
1891,39.252223, -94.655534
1912,38.919601, -94.521064
1919,39.285851, -94.570811
1935,39.170736, -94.598678
1944,39.095901, -94.584533
1948,38.971462, -94.605386
1954,38.971462, -94.605386
1962,38.971462, -94.605386
1975,38.925585, -94.530583
1976,39.075253, -94.583302
1977,39.168919, -94.496877
1980,39.100452, -94.545793
1981,38.956838, -94.486708
2003,39.024435, -94.518248
2015,39.070827, -94.58533
2018,39.007141, -94.559903
2027,39.098842, -94.550832
2033,39.034179, -94.592024
2037,39.048055, -94.552824
2062,39.110855, -94.578417
2117,38.971462, -94.605386
2172,39.215363, -94.648319
2177,39.100795, -94.581248
2193,39.184283, -94.551814
2225,39.083241, -94.523647
2230,39.099565, -94.539856
2240,39.10102, -94.579669
2248,39.10002, -94.585576
2249,38.925134, -94.566252
2268,39.11451, -94.524402
2286,39.186619, -94.543733
2305,38.940034, -94.521339
2311,39.10002, -94.585576
2314,39.047362, -94.53439
2323,39.05264, -94.580792
2361,39.120394, -94.5622
2421,39.299407, -94.583594
2444,38.920964, -94.553538
2489,38.919204, -94.515429
2515,39.003182, -94.550821
2521,39.026987, -94.573804
2527,39.21227, -94.605586
2572,39.168919, -94.496877
2574,39.064055, -94.540473
2580,39.082902, -94.549899
2600,39.03326, -94.49678
2608,38.933779, -94.508101
2640,39.17152, -94.545943
2679,39.041069, -94.582361
2710,39.108701, -94.518912
2713,39.108357, -94.48315
2740,38.971462, -94.605386
2758,38.89203, -94.595109
2804,38.911391, -94.519205
2811,38.998349, -94.564385
2825,39.112514, -94.524525
2830,39.24853, -94.641213
2849,39.082082, -94.530937
2857,39.069731, -94.549353
2885,39.165471, -94.416315
2891,39.175771, -94.574419
2899,39.033747, -94.41578
2901,38.997893, -94.554864
2903,39.05701, -94.550043
2932,38.945313, -94.512407
2935,38.882537, -94.589873
2947,38.924532, -94.505289
2949,39.252014, -94.698089
2965,39.093332, -94.580055
2976,39.074112, -94.579875
2978,39.221328, -94.668464
2985,39.049925, -94.553884
2996,39.036395, -94.567796
3026,39.131615, -94.531011
3027,38.962429, -94.488251
3058,39.062197, -94.539394
3061,38.960223, -94.475744
3062,38.932796, -94.543388
3078,39.252223, -94.655534
3096,39.117823, -94.511663
3114,39.189205, -94.556734
3149,39.061754, -94.579947
3177,39.110818, -94.583675
3185,39.184283, -94.551814
3210,38.971462, -94.605386
3211,38.992745, -94.605769
3227,39.293653, -94.684662
3248,39.036183, -94.540744
