,firearm_used_flag,zip_code,report_no,age,sex
114,True,64111,KC20013693,23,M
167,True,64137,KC20020502,29,M
184,True,64123,KC20022182,22,M
268,True,64161,KC20032238,54,M
319,True,64147,KC20037999,20,M
331,True,64129,KC20039823,36,M
344,True,64130,KC20027713,47,F
363,True,64132,KC20030341,32,M
402,True,64127,KC20047985,26,M
407,True,64131,KC20031848,50,F
412,True,64127,KC20017820,41,F
422,True,64127,KC20025741,27,F
425,True,64147,KC20031716,30,F
427,True,64124,KC20024717,20,M
441,True,64053,KC20019100,29,M
466,True,64131,KC20032104,48,M
469,True,64134,KC20014012,18,M
473,True,64132,KC20013754,20,F
500,True,64131,KC20000962,33,F
558,True,64124,KC20008131,23,F
569,True,64128,KC20014136,26,M
570,True,64128,KC20016663,19,F
576,True,64127,KC20001352,25,M
589,True,64133,KC20004714,22,F
597,True,64124,KC20013664,20,M
618,True,64106,KC20003970,30,M
623,True,64111,KC20015257,20,M
631,True,64133,KC20004714,36,M
657,True,64109,KC20015120,34,M
790,True,64134,KC20014012,20,M
795,True,64101,KC20001213,28,M
805,True,64111,KC20015257,18,M
858,True,64128,KC20009594,36,F
878,True,64127,KC20008328,33,M
880,True,64136,KC20011636,26,F
935,True,64132,KC20000075,23,M
951,True,64111,KC20001456,46,M
977,True,64127,KC20001107,56,M
1017,True,64126,KC20012398,18,F
1047,True,64132,KC20010147,23,F
1077,True,64138,KC20000102,55,M
1079,True,64106,KC20011948,28,M
1135,True,64134,KC20010847,20,F
1166,True,64123,KC20003763,49,F
1216,True,64116,KC20006101,21,F
1229,True,64108,KC20007000,34,M
1252,True,64108,KC20009618,24,M
1266,True,64130,KC20003393,20,F
1268,True,64117,KC20013013,43,F
1311,True,64111,KC20007679,40,M
1322,True,64108,KC20009618,24,M
1323,True,64111,KC20014481,54,M
1356,True,64130,KC20000810,59,F
1357,True,64124,KC20002922,23,M
1362,True,64128,KC20000106,54,M
1369,True,64130,KC20001488,33,M
1372,True,64111,KC20015257,23,M
1386,True,64123,KC20000357,31,M
1396,True,64134,KC20004297,19,M
1405,True,64134,KC20000477,58,M
1415,True,64134,KC20007732,37,M
1428,True,64130,KC20005139,35,M
1455,True,64124,KC20005246,55,M
1464,True,64134,KC20014117,32,M
1465,True,64125,KC20001208,36,M
1476,True,64111,KC20015257,21,M
1508,True,64101,KC20013992,19,M
1513,True,64120,KC20015654,19,M
1546,True,64130,KC20001677,38,M
1586,True,64130,KC20000358,50,M
1634,True,64130,KC20014607,22,M
1649,True,64111,KC20007648,19,M
1659,True,64131,KC20000498,20,M
1666,True,64133,KC20004714,26,F
1704,True,64111,KC20006244,22,M
1768,True,64106,KC20008387,23,M
1775,True,64110,KC20013117,34,M
1791,True,64128,KC20015694,33,M
1802,True,64110,KC20016437,30,M
1809,True,64109,KC20008267,37,F
1835,True,64124,KC20004393,22,M
1837,True,64126,KC20010080,22,M
1839,True,64131,KC20000768,62,M
1844,True,64134,KC20016218,28,F
1866,True,64132,KC20002070,33,F
1878,True,64126,KC20001881,23,M
1880,True,64132,KC20003777,24,M
1928,True,64130,KC20013161,32,M
