ZipCode,COVID19 Cases,"Crude Rate per 100,000"
64101,SUPP*,Not Caclulated**
64102,SUPP*,Not Caclulated**
64105,19,Not Caclulated**
64106,80,857.82
64108,60,769.33
64109,43,445.73
64110,47,273.64
64111,46,258.41
64112,24,287.36
64113,24,200.20
64114,53,217.17
64116,104,976.62
64117,82,583.63
64118,92,422.33
64119,76,436.26
64120,SUPP*,Not Caclulated**
64123,219,2286.01
64124,316,2973.84
64125,31,0.00
64126,75,1334.28
64127,182,1177.46
64128,92,808.51
64129,35,411.86
64130,100,500.10
64131,61,266.00
64132,49,330.70
64133,67,410.59
64134,84,351.85
64136,8,Not Caclulated**
64137,70,657.52
64138,44,325.97
64139,SUPP*,Not Caclulated**
64145,18,Not Caclulated**
64146,SUPP*,Not Caclulated**
64147,SUPP*,Not Caclulated**
64149,SUPP*,Not Caclulated**
64151,58,268.93
64152,27,289.39
64153,16,331.81
64154,40,367.14
64155,72,314.18
64156,18,0.00
64157,58,291.19
64158,19,376.91
64161,SUPP*,Not Caclulated**
64163,SUPP*,Not Caclulated**
64164,SUPP*,Not Caclulated**
64165,SUPP*,Not Caclulated**
64166,SUPP*,Not Caclulated**
64167,SUPP*,Not Caclulated**
